serial_name,gunpla_id,model_id,part_type,parts_id,parts_name_id,table_file,has_ch_archive,ch_archives,has_we_archive,we_archives
RX-78-2,10000,10000,head,11000000,2579,table_head.eth,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,head,11000010,2987,table_head.eth,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,head,11000020,3002,table_head.eth,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,head,11000030,3015,table_head.eth,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,head,11000040,3218,table_head.eth,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,body,11000001,3794,table_body.etb,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,body,11000011,4202,table_body.etb,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,body,11000021,4217,table_body.etb,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,body,11000031,4230,table_body.etb,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,body,11000041,4433,table_body.etb,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,arms,11000002,5009,table_arms.eta,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,arms,11000012,5417,table_arms.eta,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,arms,11000022,5432,table_arms.eta,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,arms,11000032,5445,table_arms.eta,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,arms,11000042,5648,table_arms.eta,yes,ch/10000.arc; ch/10000_vfx.arc,no,
RX-78-2,10000,10000,legs,11000003,6224,table_leg.etl,yes,ch/10000.arc; ch/10000_vfx.arc,no,
